Variable,Category,Count
Q84#1_1,Very Comfortable,212
Q84#1_1,Comfortable,128
Q84#1_1,Neutral,40
Q84#1_1,Uncomfortable,11
Q84#1_1,Very Uncomfortable,8
Q84#1_2,Very Comfortable,58
Q84#1_2,Comfortable,109
Q84#1_2,Neutral,110
Q84#1_2,Uncomfortable,77
Q84#1_2,Very Uncomfortable,45
Q84#1_3,Very Comfortable,21
Q84#1_3,Comfortable,78
Q84#1_3,Neutral,123
Q84#1_3,Uncomfortable,103
Q84#1_3,Very Uncomfortable,74
Q84#1_4,Very Comfortable,19
Q84#1_4,Comfortable,60
Q84#1_4,Neutral,125
Q84#1_4,Uncomfortable,108
Q84#1_4,Very Uncomfortable,87
Q84#2_1,Very Comfortable,221
Q84#2_1,Comfortable,120
Q84#2_1,Neutral,44
Q84#2_1,Uncomfortable,6
Q84#2_1,Very Uncomfortable,8
Q84#2_2,Very Comfortable,88
Q84#2_2,Comfortable,110
Q84#2_2,Neutral,109
Q84#2_2,Uncomfortable,59
Q84#2_2,Very Uncomfortable,33
Q84#2_3,Very Comfortable,38
Q84#2_3,Comfortable,101
Q84#2_3,Neutral,113
Q84#2_3,Uncomfortable,87
Q84#2_3,Very Uncomfortable,60
Q84#2_4,Very Comfortable,32
Q84#2_4,Comfortable,77
Q84#2_4,Neutral,123
Q84#2_4,Uncomfortable,94
Q84#2_4,Very Uncomfortable,73
Q84#3_1,Very Comfortable,237
Q84#3_1,Comfortable,119
Q84#3_1,Neutral,31
Q84#3_1,Uncomfortable,4
Q84#3_1,Very Uncomfortable,8
Q84#3_2,Very Comfortable,107
Q84#3_2,Comfortable,115
Q84#3_2,Neutral,96
Q84#3_2,Uncomfortable,46
Q84#3_2,Very Uncomfortable,35
Q84#3_3,Very Comfortable,51
Q84#3_3,Comfortable,103
Q84#3_3,Neutral,99
Q84#3_3,Uncomfortable,88
Q84#3_3,Very Uncomfortable,58
Q84#3_4,Very Comfortable,38
Q84#3_4,Comfortable,85
Q84#3_4,Neutral,116
Q84#3_4,Uncomfortable,87
Q84#3_4,Very Uncomfortable,73
Q84#4_1,Very Comfortable,208
Q84#4_1,Comfortable,121
Q84#4_1,Neutral,36
Q84#4_1,Uncomfortable,21
Q84#4_1,Very Uncomfortable,13
Q84#4_2,Very Comfortable,54
Q84#4_2,Comfortable,87
Q84#4_2,Neutral,115
Q84#4_2,Uncomfortable,76
Q84#4_2,Very Uncomfortable,67
Q84#4_3,Very Comfortable,21
Q84#4_3,Comfortable,56
Q84#4_3,Neutral,111
Q84#4_3,Uncomfortable,111
Q84#4_3,Very Uncomfortable,100
Q84#4_4,Very Comfortable,15
Q84#4_4,Comfortable,46
Q84#4_4,Neutral,107
Q84#4_4,Uncomfortable,118
Q84#4_4,Very Uncomfortable,113
Q84#5_1,Very Comfortable,214
Q84#5_1,Comfortable,123
Q84#5_1,Neutral,39
Q84#5_1,Uncomfortable,13
Q84#5_1,Very Uncomfortable,10
Q84#5_2,Very Comfortable,81
Q84#5_2,Comfortable,109
Q84#5_2,Neutral,109
Q84#5_2,Uncomfortable,53
Q84#5_2,Very Uncomfortable,47
Q84#5_3,Very Comfortable,37
Q84#5_3,Comfortable,86
Q84#5_3,Neutral,114
Q84#5_3,Uncomfortable,98
Q84#5_3,Very Uncomfortable,64
Q84#5_4,Very Comfortable,34
Q84#5_4,Comfortable,80
Q84#5_4,Neutral,120
Q84#5_4,Uncomfortable,82
Q84#5_4,Very Uncomfortable,83
Q84#6_1,Very Comfortable,199
Q84#6_1,Comfortable,128
Q84#6_1,Neutral,40
Q84#6_1,Uncomfortable,20
Q84#6_1,Very Uncomfortable,12
Q84#6_2,Very Comfortable,53
Q84#6_2,Comfortable,93
Q84#6_2,Neutral,122
Q84#6_2,Uncomfortable,70
Q84#6_2,Very Uncomfortable,61
Q84#6_3,Very Comfortable,22
Q84#6_3,Comfortable,55
Q84#6_3,Neutral,122
Q84#6_3,Uncomfortable,110
Q84#6_3,Very Uncomfortable,90
Q84#6_4,Very Comfortable,21
Q84#6_4,Comfortable,55
Q84#6_4,Neutral,106
Q84#6_4,Uncomfortable,111
Q84#6_4,Very Uncomfortable,106
