techScore,complexScore
3,12
2,11
4,10
6,10
3,10
3,9
4,9
2,9
4,9
2,9
1,9
1,9
2,9
2,9
4,9
3,9
3,9
4,9
2,9
0,9
2,9
1,9
3,9
1,9
3,8
6,8
3,8
3,8
3,8
3,8
1,8
5,8
5,8
2,8
1,8
1,8
3,8
1,8
1,8
1,8
5,8
3,8
0,8
3,7
1,7
1,7
2,7
3,7
4,7
0,7
4,7
4,7
1,7
4,7
1,7
3,7
2,7
2,7
2,7
3,7
4,7
1,7
3,7
1,7
4,7
4,7
1,7
2,7
3,7
2,7
5,7
4,7
3,7
3,6
1,6
3,6
3,6
1,6
1,6
2,6
2,6
2,6
0,6
4,6
3,6
2,6
3,6
1,6
2,6
4,6
1,6
1,6
5,6
2,6
1,6
1,6
2,6
3,6
3,6
2,6
1,6
2,6
4,6
3,6
4,6
3,6
2,6
2,6
2,6
2,6
3,6
2,6
4,6
3,6
1,6
3,6
2,6
4,5
1,5
3,5
0,5
2,5
3,5
3,5
2,5
2,5
4,5
3,5
1,5
4,5
4,5
3,5
4,5
8,5
0,5
4,5
2,5
1,5
1,5
3,5
4,5
2,5
3,5
2,5
2,5
5,5
2,5
5,5
3,5
2,5
2,5
1,5
2,5
1,5
2,5
1,5
4,5
3,5
2,5
4,5
3,5
1,5
5,5
5,5
2,5
4,5
3,4
1,4
0,4
2,4
3,4
1,4
4,4
1,4
3,4
3,4
1,4
2,4
1,4
2,4
2,4
3,4
1,4
1,4
2,4
3,4
2,4
2,4
2,4
2,4
2,4
2,4
2,4
4,4
1,4
2,4
1,4
3,4
1,4
1,4
2,4
2,4
4,4
3,4
4,4
2,4
3,4
0,4
4,4
2,4
2,4
5,4
1,4
1,4
2,4
1,4
3,4
1,4
2,4
1,4
1,4
2,4
5,4
1,4
3,4
4,4
3,4
1,4
2,4
3,4
0,3
2,3
2,3
0,3
2,3
2,3
3,3
4,3
1,3
3,3
2,3
2,3
0,3
1,3
1,3
4,3
4,3
0,3
4,3
4,3
2,3
2,3
1,3
4,3
1,3
3,3
1,3
0,3
2,3
3,3
0,3
1,3
1,3
0,3
2,3
1,3
1,3
4,3
2,3
2,3
2,3
1,3
2,3
2,3
1,3
2,3
2,3
0,3
2,3
1,3
4,3
5,3
1,3
0,3
2,3
5,3
1,3
2,2
1,2
1,2
0,2
2,2
3,2
1,2
1,2
4,2
1,2
1,2
1,2
3,2
2,2
3,2
0,2
2,2
0,2
2,2
4,2
0,2
2,2
1,2
1,2
1,2
2,2
2,2
1,2
2,2
4,2
2,2
2,2
2,2
2,2
2,2
0,2
3,2
1,2
5,2
3,2
1,2
3,2
0,2
3,2
4,2
0,2
2,2
1,2
3,2
4,2
2,2
1,2
2,2
1,2
3,2
1,2
3,2
2,2
1,2
3,2
2,2
3,1
3,1
1,1
2,1
2,1
0,1
0,1
0,1
0,1
1,1
1,1
1,1
2,1
0,1
0,1
1,1
1,1
1,1
2,1
3,1
3,1
2,1
1,1
3,1
1,1
2,1
4,1
1,0
0,0
3,0
0,0
2,0
0,0
1,0
1,0
0,0
2,NA
6,NA
1,NA
2,NA
1,NA
1,NA
2,NA
1,NA
2,NA
2,NA
1,NA
1,NA
2,NA
0,NA
3,NA
